model_name,iteration_computing_time,iteration_networking_time,gpu_workers,ps,loading_time
workload_01,0.08105,0.0526,2,0,8.232646896
workload_01,0.07863,0.07516,4,0,10.71851351
workload_01,0.16185,0.09438,8,0,57.19014643
workload_04,0.13904,0.40828,2,0,48.78956681
workload_04,0.18119,0.63258,4,0,105.657032
workload_04,0.29928,1.09676,8,0,242.092383
workload_05,0.41928,0.21701,2,0,27.13538848
workload_05,0.42543,0.30406,4,0,46.34733584
workload_05,0.47911,0.5212,8,0,120.2302615
workload_12,0.19081,0.40988,2,0,40.70080956
workload_12,0.23028,0.58728,4,0,88.50623443
workload_12,0.32688,1.01458,8,0,203.5973881
workload_13,0.1282,0.14635,2,0,18.56834133
workload_13,0.13679,0.24283,4,0,37.03420311
workload_13,0.23151,0.40966,8,0,80.53324118
workload_15,0.12189,0.21538,2,0,22.51415079
workload_15,0.12763,0.3482,4,0,45.52238357
workload_15,0.17993,0.54871,8,0,107.3312713
workload_06,0.18781,0.12343,2,0,15.4367755
workload_06,0.2034,0.21025,4,0,25.18817651
workload_06,0.30118,0.36128,8,0,53.37828359
workload_11,0.16136,0.28023,2,0,34.06353891
workload_11,0.19588,0.40561,4,0,68.84305983
workload_11,0.2814,0.70168,8,0,153.2204806
workload_14,0.2974,0.30693,2,0,24.74805354
workload_14,0.30231,0.41425,4,0,49.64487831
workload_14,0.35738,0.67445,8,0,103.3028525
workload_16,1.31253,0.44141,2,0,24.216997
workload_16,1.52074,0.80641,4,0,27.52956048
workload_16,1.46475,1.27086,8,0,25.6983971
workload_02,1.31993,0.44408,2,0,53.20520544
workload_02,1.867,0.7821,4,0,68.92264014
workload_02,2.22671,1.24841,8,0,87.18974456
workload_07,1.58178,0.55223,2,0,126.5161822
workload_07,2.45425,0.87663,4,0,95.27313476
workload_07,2.88303,1.37745,8,0,115.928487
workload_03,0.73129736,9.933431136,2,0,0
workload_03,0.946715571,15.77652467,4,0,0
workload_03,1.049228733,21.76740464,8,0,0
workload_08,0.503466747,19.75530361,2,0,0
workload_08,0.692120045,19.24828357,4,0,0
workload_08,0.827156965,23.40672936,8,0,0
workload_09,0.659427186,17.58941187,2,0,0
workload_09,0.837276672,21.59654787,4,0,0
workload_09,0.980400894,24.60090926,8,0,0
workload_10,0.933356095,18.12751355,2,0,0
workload_10,1.134476366,18.06760482,4,0,0
workload_10,1.334423092,21.89914612,8,0,0
workload_01,0.12378539,0,1,0,6.968082231
workload_04,0.281586138,0,1,0,23.37755121
workload_05,0.366911812,0,1,0,16.82228388
workload_12,0.328957723,0,1,0,17.2820715
workload_13,0.138494151,0,1,0,9.974756466
workload_15,0.17287228,0,1,0,12.07585351
workload_06,0.239832838,0,1,0,12.80229151
workload_11,0.272175992,0,1,0,17.21360403
workload_14,0.330950616,0,1,0,14.8719871
workload_16,0.542348032,0,1,0,20.51017077
workload_02,0.199811866,0,1,0,27.54533758
workload_07,0.152789413,0,1,0,51.70965817
workload_18,0.676340073,0,1,0,12.5069517
workload_18,1.64394,0.45805,2,0,43.31886721
workload_18,2.29433,0.81203,4,0,65.32484606
workload_18,2.57291,1.29855,8,0,115.0129901
workload_17,0.123760643,0,1,0,21.86297923
workload_17,0.75371,0.46488,4,0,67.31732353
workload_17,0.87523,0.5668,8,0,64.94765546
