Job ID,Data Set,Model,Sync/Async,Batch Size,Sum of Max TX+RX (B/s),Sum of Max TX+RX (MB/s),Number of Workers,Number of PSs,tensorsize,calculated communicated volume
0,dataset_01,workload_01,sync,8192,205008687,195.5115194,2,0,6.7,10.05
1,dataset_01,workload_01,sync,16384,362930107,346.1171217,4,0,6.7,8.375
2,dataset_01,workload_01,sync,32768,1108704164,1057.342686,8,0,6.7,7.5375
3,dataset_01,workload_04,sync,256,71771406,68.44654655,2,0,6.6,9.9
4,dataset_01,workload_04,sync,512,125442826,119.6316013,4,0,6.6,8.25
5,dataset_01,workload_04,sync,1024,271991271,259.3910894,8,0,6.6,7.425
6,dataset_01,workload_05,sync,2048,11978125,11.42323017,2,0,2.5,3.75
7,dataset_01,workload_05,sync,4096,32389830,30.88934898,4,0,2.5,3.125
8,dataset_01,workload_05,sync,8192,73431335,70.02957821,8,0,2.5,2.8125
9,dataset_01,workload_12,sync,2048,53945554,51.44648933,2,0,3.3,4.95
10,dataset_01,workload_12,sync,4096,102429904,97.68476868,4,0,3.3,4.125
11,dataset_01,workload_12,sync,8192,228127712,217.5595398,8,0,3.3,3.7125
12,dataset_01,workload_13,sync,2048,34055249,32.47761631,2,0,1.3,1.95
13,dataset_01,workload_13,sync,4096,80418824,76.693367,4,0,1.3,1.625
14,dataset_01,workload_13,sync,8192,125453404,119.6416893,8,0,1.3,1.4625
15,dataset_01,workload_15,sync,2048,42624634,40.65001869,2,0,26.7,40.05
16,dataset_01,workload_15,sync,4096,88726034,84.61573982,4,0,26.7,33.375
17,dataset_01,workload_15,sync,8192,140405899,133.9014997,8,0,26.7,30.0375
18,dataset_02,workload_06,sync,512,354524251,338.1006727,2,0,8.5,12.75
19,dataset_02,workload_06,sync,1024,664453373,633.6721163,4,0,8.5,10.625
20,dataset_02,workload_06,sync,2048,1341802096,1279.642197,8,0,8.5,9.5625
21,dataset_02,workload_11,sync,128,881740486,840.8932552,2,0,527.8,791.7
22,dataset_02,workload_11,sync,256,1869863473,1783.240769,4,0,527.8,659.75
23,dataset_02,workload_11,sync,512,2970602559,2832.987365,8,0,527.8,593.775
24,dataset_02,workload_14,sync,256,789676602,753.0942936,2,0,97.5,146.25
25,dataset_02,workload_14,sync,512,1636750254,1560.92668,4,0,97.5,121.875
26,dataset_02,workload_14,sync,1024,3086952536,2943.94735,8,0,97.5,109.6875
27,dataset_02,workload_16,sync,256,2189263272,2087.844154,2,0,90.9,136.35
28,dataset_02,workload_16,sync,512,5070010837,4835.139119,4,0,90.9,113.625
29,dataset_02,workload_16,sync,1024,11017915058,10507.50261,8,0,90.9,102.2625
30,dataset_04,workload_02,sync,8,1364057958,1300.867041,2,0,1560,2340
31,dataset_04,workload_02,sync,16,2326001089,2218.247499,4,0,1560,1950
32,dataset_04,workload_02,sync,32,4326070090,4125.661936,8,0,1560,1755
33,dataset_04,workload_03,sync,8,2424952314,2312.61474,2,0,4000,6000
34,dataset_04,workload_03,sync,16,3010888582,2871.40711,4,0,4000,5000
35,dataset_04,workload_03,sync,32,5930696514,5655.952944,8,0,4000,4500
36,dataset_04,workload_07,sync,8,1545527288,1473.92968,2,0,6.7,6.7
37,dataset_04,workload_07,sync,16,2906077832,2771.45179,4,0,6.7,6.7
38,dataset_04,workload_07,sync,32,4859838825,4634.703469,8,0,6.7,6.7
39,dataset_04,workload_08,sync,8,620843690,592.0826817,2,0,6.6,6.6
40,dataset_04,workload_08,sync,16,1196502330,1141.073542,4,0,6.6,6.6
41,dataset_04,workload_08,sync,32,2655673665,2532.647767,8,0,6.6,6.6
42,dataset_04,workload_09,sync,8,2837552014,2706.100477,2,0,2.5,2.5
43,dataset_04,workload_09,sync,16,3293844016,3141.25444,4,0,2.5,2.5
44,dataset_04,workload_09,sync,32,5678769927,5415.697028,8,0,2.5,2.5
45,dataset_04,workload_10,sync,8,821930466,783.8539753,2,0,3.3,3.3
46,dataset_04,workload_10,sync,16,1642218644,1566.141743,4,0,3.3,3.3
47,dataset_04,workload_10,sync,32,3261166204,3110.09045,8,0,3.3,3.3
48,dataset_03,workload_18,sync,8,1731595998,1651.37863,2,0,26.1,26.1
49,dataset_03,workload_18,sync,16,2597580777,2477.246072,4,0,26.1,26.1
50,dataset_03,workload_18,sync,32,5604617877,5344.980123,8,0,26.1,26.1
51,dataset_03,workload_17,sync,8,990512773,944.6265917,2,0,138.5,138.5
52,dataset_03,workload_17,sync,16,990512773,944.6265917,4,0,138.5,138.5
53,dataset_03,workload_17,sync,32,2406501796,2295.018955,8,0,138.5,138.5
