model_name,gpu_workers,ps,wall_time,cpu_time,gpu_time,comm_time,exposed_comm,overlap,iteration_computing_time,iteration_networking_time,loading_time,iteration_computing_time(1.0GHz),iteration_networking_time(1.0GHz)
workload_02,2,0,2428199023,2428199023,1491038000,454261860,937161023,0,0.994025333,0.624774015,53.20520544,1.491038,0.937161023
workload_02,4,0,2887217023,2887217023,1517895000,930137598,1369322023,0,1.01193,0.912881349,68.92264014,1.517895,1.369322023
workload_02,8,0,2675939023,2675939023,1576495000,1275324582,1099444023,175880559,1.050996667,0.850216388,87.18974456,1.576495,1.275324582
workload_04,2,0,939990005,939990005,225085000,987225,714905005,0,0.150056667,0.476603337,48.78956681,0.225085,0.714905005
workload_04,4,0,1026931005,1026931005,240188000,41912789,786743005,0,0.160125333,0.524495337,105.657032,0.240188,0.786743005
workload_04,8,0,1447223005,1447223005,238598001,53844415,1208625004,0,0.159065334,0.805750003,242.092383,0.238598001,1.208625004
workload_05,2,0,610512005,610512005,43629000,41983578,566883005,0,0.029086,0.377922003,27.13538848,0.043629,0.566883005
workload_05,4,0,618844005,618844005,46762000,31785689,572082005,0,0.031174667,0.381388003,46.34733584,0.046762,0.572082005
workload_05,8,0,689844005,689844005,43702001,21304975,646142004,0,0.029134667,0.430761336,120.2302615,0.043702001,0.646142004
workload_06,2,0,743286005,743286005,77516000,9127413,665770005,0,0.051677333,0.44384667,15.4367755,0.077516,0.665770005
workload_06,4,0,790840005,790840005,71946000,26611858,718894005,0,0.047964,0.47926267,25.18817651,0.071946,0.718894005
workload_06,8,0,841192005,841192005,77485000,5564125,763707005,0,0.051656667,0.509138003,53.37828359,0.077485,0.763707005
workload_07,2,0,2352407022,2350214023,1804205000,1080626925,548202022,532424903,1.202803333,0.72041795,126.5161822,1.804205,1.080626925
workload_07,4,0,2422761023,2422761023,1812755000,1151582851,610006023,541576828,1.208503333,0.767721901,95.27313476,1.812755,1.151582851
workload_07,8,0,2650679023,2650679023,1840503000,998437470,810176023,188261447,1.227002,0.66562498,115.928487,1.840503,0.99843747
workload_11,2,0,849035005,849035005,146440000,3022705,702595005,0,0.097626667,0.46839667,34.06353891,0.14644,0.702595005
workload_11,4,0,877024005,877024005,130163000,36612600,746861005,0,0.086775333,0.497907337,68.84305983,0.130163,0.746861005
workload_11,8,0,1081034005,1081034005,143802000,4759026,937232005,0,0.095868,0.624821337,153.2204806,0.143802,0.937232005
workload_12,2,0,722955005,722955005,30167000,251919,692788005,0,0.020111333,0.46185867,40.70080956,0.030167,0.692788005
workload_12,4,0,756198005,756198005,30277000,61742832,725921005,0,0.020184667,0.483947337,88.50623443,0.030277,0.725921005
workload_12,8,0,754802005,754802005,26954001,57224190,727848004,0,0.017969334,0.485232003,203.5973881,0.026954001,0.727848004
workload_13,2,0,566992005,566992005,12341000,106297,554651005,0,0.008227333,0.369767337,18.56834133,0.012341,0.554651005
workload_13,4,0,573099005,573099005,12328000,58186961,560771005,0,0.008218667,0.373847337,37.03420311,0.012328,0.560771005
workload_13,8,0,577944005,577944005,11057001,19913977,566887004,0,0.007371334,0.377924669,80.53324118,0.011057001,0.566887004
workload_14,2,0,829546005,829546005,176757000,76149812,652789005,0,0.117838,0.43519267,24.74805354,0.176757,0.652789005
workload_14,4,0,898486005,898486005,192058000,4495739,706428005,0,0.128038667,0.470952003,49.64487831,0.192058,0.706428005
workload_14,8,0,1218360005,1218360005,176544000,31587436,1041816005,0,0.117696,0.694544003,103.3028525,0.176544,1.041816005
workload_16,2,0,801379005,799339005,260187000,26646943,541192005,0,0.173458,0.36079467,24.216997,0.260187,0.541192005
workload_16,4,0,909089185,898286005,263158000,78438181,645931185,0,0.175438667,0.43062079,27.52956048,0.263158,0.645931185
workload_16,8,0,1366386005,1364333005,282557000,32113001,1083829005,0,0.188371333,0.72255267,25.6983971,0.282557,1.083829005
workload_18,2,0,1070797665,1069935005,408993000,40723940,661804665,0,0.272662,0.44120311,43.31886721,0.408993,0.661804665
workload_18,4,0,1258204005,1258203005,400751000,205778939,857453005,0,0.267167333,0.571635337,65.32484606,0.400751,0.857453005
workload_18,8,0,1311326305,1277857005,416267000,103618143,895059305,0,0.277511333,0.596706203,115.0129901,0.416267,0.895059305
workload_01,2,0,404694005,404694005,3353000,236741,401341005,0,0.002235333,0.26756067,8.232646896,0.003353,0.401341005
workload_01,4,0,392294005,392294005,3347000,17329361,388947005,0,0.002231333,0.259298003,10.71851351,0.003347,0.388947005
workload_01,8,0,435348005,435348005,3341000,38072229,432007005,0,0.002227333,0.28800467,57.19014643,0.003341,0.432007005
workload_01,1,0,,,,,,,0.00457425053914388,0,8.232646896,,
workload_02,1,0,,,,,,,0.16252035522460936,0,53.20520544,,
workload_04,1,0,,,,,,,0.1879618123372396,0,48.78956681,,
workload_05,1,0,,,,,,,0.034051935831705724,0,27.13538848,,
workload_06,1,0,,,,,,,0.0712447764078776,0,15.4367755,,
workload_07,1,0,,,,,,,0.2036605224609375,0,126.5161822,,
workload_11,1,0,,,,,,,0.14825174967447916,0,34.06353891,,
workload_12,1,0,,,,,,,0.06719190470377605,0,40.70080956,,
workload_13,1,0,,,,,,,0.03111272430419922,0,18.56834133,,
workload_14,1,0,,,,,,,0.186341552734375,0,24.74805354,,
workload_16,1,0,,,,,,,0.26278322347005206,0,24.216997,,
workload_17,1,0,,,,,,,0.1288511759440104,0,15.19286262,,
workload_18,1,0,,,,,,,0.3233993733723958,0,43.31886721,,
