Job ID,Data Set,Model,Sync/Async,Batch Size,Sum of Max TX+RX (B/s),Sum of Max TX+RX (MB/s),Number of Workers,Number of PSs,tensorsize,calculated communicated volume
0,dataset_01,workload_01,sync,,0,0.0000,1,0,7.0257,0.0000
1,dataset_01,workload_01,sync,,52516687,52.5167,2,0,7.0257,7.0257
2,dataset_01,workload_01,sync,,81285624,81.2856,4,0,7.0257,10.5386
3,dataset_01,workload_01,sync,,170761120,170.7611,8,0,7.0257,12.2950
4,dataset_04,workload_02,sync,,0,0.0000,1,0,438.0572,0.0000
5,dataset_04,workload_02,sync,,1402290074,1402.2901,2,0,438.0572,438.0572
6,dataset_04,workload_02,sync,,1439586428,1439.5864,4,0,438.0572,657.0858
7,dataset_04,workload_02,sync,,3606611732,3606.6117,8,0,438.0572,766.6001
8,dataset_01,workload_04,sync,,0,0.0000,1,0,27.9186,0.0000
9,dataset_01,workload_04,sync,,117156544,117.1565,2,0,27.9186,27.9186
10,dataset_01,workload_04,sync,,159688360,159.6884,4,0,27.9186,41.8779
11,dataset_01,workload_04,sync,,242544213,242.5442,8,0,27.9186,48.8575
12,dataset_01,workload_05,sync,,0,0.0000,1,0,4.0789,0.0000
13,dataset_01,workload_05,sync,,21585936,21.5859,2,0,4.0789,4.0789
14,dataset_01,workload_05,sync,,32084386,32.0844,4,0,4.0789,6.1183
15,dataset_01,workload_05,sync,,66283572,66.2836,8,0,4.0789,7.1381
16,dataset_02,workload_06,sync,,0,0.0000,1,0,27.9942,0.0000
17,dataset_02,workload_06,sync,,126143562,126.1436,2,0,27.9942,27.9942
18,dataset_02,workload_06,sync,,175232926,175.2329,4,0,27.9942,41.9913
19,dataset_02,workload_06,sync,,384885039,384.8850,8,0,27.9942,48.9899
20,dataset_04,workload_07,sync,,0,0.0000,1,0,497.7592,0.0000
21,dataset_04,workload_07,sync,,1381862293,1381.8623,2,0,497.7592,497.7592
22,dataset_04,workload_07,sync,,1945076463,1945.0765,4,0,497.7592,746.6389
23,dataset_04,workload_07,sync,,5234651500,5234.6515,8,0,497.7592,871.0787
24,dataset_02,workload_11,sync,,0,0.0000,1,0,95.3383,0.0000
25,dataset_02,workload_11,sync,,407083594,407.0836,2,0,95.3383,95.3383
26,dataset_02,workload_11,sync,,574433793,574.4338,4,0,95.3383,143.0074
27,dataset_02,workload_11,sync,,1068094126,1068.0941,8,0,95.3383,166.8420
28,dataset_01,workload_12,sync,,0,0.0000,1,0,6.9118,0.0000
29,dataset_01,workload_12,sync,,29930368,29.9304,2,0,6.9118,6.9118
30,dataset_01,workload_12,sync,,42846811,42.8468,4,0,6.9118,10.3678
31,dataset_01,workload_12,sync,,99710653,99.7107,8,0,6.9118,12.0957
32,dataset_01,workload_13,sync,,0,0.0000,1,0,2.6343,0.0000
33,dataset_01,workload_13,sync,,14248419,14.2484,2,0,2.6343,2.6343
34,dataset_01,workload_13,sync,,21139645,21.1396,4,0,2.6343,3.9515
35,dataset_01,workload_13,sync,,48793851,48.7939,8,0,2.6343,4.6101
36,dataset_02,workload_14,sync,,0,0.0000,1,0,102.2281,0.0000
37,dataset_02,workload_14,sync,,469806167,469.8062,2,0,102.2281,102.2281
38,dataset_02,workload_14,sync,,651200968,651.2010,4,0,102.2281,153.3422
39,dataset_02,workload_14,sync,,1030311682,1030.3117,8,0,102.2281,178.8992
40,dataset_02,workload_16,sync,,0,0.0000,1,0,553.4302,0.0000
41,dataset_02,workload_16,sync,,3067840221,3067.8402,2,0,553.4302,553.4302
42,dataset_02,workload_16,sync,,3855574646,3855.5746,4,0,553.4302,830.1453
43,dataset_02,workload_16,sync,,5361562362,5361.5624,8,0,553.4302,968.5028
44,dataset_03,workload_18,sync,,0,0.0000,1,0,148.7386,0.0000
45,dataset_03,workload_18,sync,,674240941,674.2409,2,0,148.7386,148.7386
46,dataset_03,workload_18,sync,,780594850,780.5948,4,0,148.7386,223.1078
47,dataset_03,workload_18,sync,,1744862036,1744.8620,8,0,148.7386,260.2925
