placement,job_ids,models,arrival_times,wait_times,training_time,jcts
k8s-load-balancing,0,bert,0,0,21217.3039,21217.3039
k8s-load-balancing,1,bert,822.37,0,212.826,211.4991
k8s-load-balancing,2,googlenet,1524.25,0,2081.7654,2080.4771
k8s-load-balancing,3,vgg16,2163.19,0,11782.2533,11781.3742
k8s-load-balancing,4,bert,2265.38,0,2768.7282,2767.6174
k8s-load-balancing,5,resnet44,3291.24,0,958.873,958.1735
k8s-load-balancing,6,inception3,3372.91,277.2906,15915.3086,16192.5992
k8s-load-balancing,7,whisper,4831.36,210.9154,4057.7618,4268.6772
k8s-load-balancing,8,densenet100_k12,5493.66,3622.0792,287.3981,3909.4773
k8s-load-balancing,9,resnet44,7322.44,2129.9938,195.8325,2325.8263
k8s-load-balancing,10,resnet110,7641.03,2049.1619,250.8285,2299.9904
k8s-load-balancing,11,resnet44,7678.91,2302.4596,148.0509,2450.5105
k8s-load-balancing,12,densenet100_k12,8875.31,1109.0201,155.4431,1264.4632
k8s-load-balancing,13,densenet40_k12,9280.5,899.7682,577.9111,1477.6793
k8s-load-balancing,14,resnet44,9674.31,1135.8662,329.8315,1465.6977
k8s-load-balancing,15,resnet44,10469.24,710.1273,418.7962,1128.9235
k8s-load-balancing,16,bert,10663.23,526.5829,7611.6538,8138.2367
k8s-load-balancing,17,densenet40_k12,11697.76,7112.0688,194.5878,7306.6566
k8s-load-balancing,18,resnet50,11716.37,7333.8399,25446.42252,32780.2624
k8s-load-balancing,19,resnet50,11961.23,7651.5608,2124.425,9775.9858
k8s-load-balancing,20,inception3,12650.01,8574.7281,16965.932,25540.6601
k8s-load-balancing,21,densenet100_k12,13006.54,8776.2826,586.8052,9363.0878
k8s-load-balancing,22,densenet40_k12,13419.57,8996.8981,294.4079,9291.306
k8s-load-balancing,23,resnet110,14028.24,8732.2067,176.4537,8908.6604
k8s-load-balancing,24,gpt2,14241.13,8739.0111,2423.0456,11162.0567
k8s-load-balancing,25,densenet100_k12,14261.96,11146.6021,266.0655,11412.6676
k8s-load-balancing,26,whisper,14491.86,11228.2544,975.6727,12203.9271
k8s-load-balancing,27,whisper,14760.44,11947.3221,4696.7645,16644.0866
k8s-load-balancing,28,densenet40_k12,14787.1,16632.4569,437.9325,17070.3894
k8s-load-balancing,29,densenet100_k12,15343.23,16559.9013,3111.3561,19671.2574
k8s-bin-packing,0,bert,0,0,5605.655366,5605.655366
k8s-bin-packing,1,bert,822.37,0,180.3394782,179.709817
k8s-bin-packing,2,googlenet,1524.25,0,1087.706376,1087.054662
k8s-bin-packing,3,vgg16,2163.19,0,2235.566104,2234.701322
k8s-bin-packing,4,bert,2265.38,0,800.8454547,800.1518877
k8s-bin-packing,5,resnet44,3291.24,0,827.0376565,826.4361092
k8s-bin-packing,6,inception3,3372.91,0,7805.888952,7804.353366
k8s-bin-packing,7,whisper,4831.36,0,2139.677272,2137.941099
k8s-bin-packing,8,densenet100_k12,5493.66,1490.638576,248.5293602,1739.167936
k8s-bin-packing,9,resnet44,7322.44,0,184.3474166,183.1360972
k8s-bin-packing,10,resnet110,7641.03,1.163748162,247.2728601,248.4366082
k8s-bin-packing,11,resnet44,7678.91,0,132.5415466,131.0856058
k8s-bin-packing,12,densenet100_k12,8875.31,0,138.9774391,138.896424
k8s-bin-packing,13,densenet40_k12,9280.5,0,569.0294491,567.9289374
k8s-bin-packing,14,resnet44,9674.31,0.138314916,408.1012906,408.2396055
k8s-bin-packing,15,resnet44,10469.24,0,357.3935265,357.0463601
k8s-bin-packing,16,bert,10663.23,0.220711933,2549.294535,2549.515247
k8s-bin-packing,17,densenet40_k12,11697.76,0,193.2907054,192.4477625
