job_id,arrival_times,start_time_seconds,end_time_seconds,training_time,wait_times,queueing_wait_times,capacity_wait_times,placement_wait_times,training_time,jcts
id0,0,0,671.8322,671.832152,0,,,,671.832152,671.8322
id1,0,7.372,811.0668,803.694807,7.372,,,,803.694807,811.0668
id2,0,8.9911,115.0621,106.070993,8.9911,,,,106.070993,115.0621
id3,0,9.7036,224.4907,214.787078,9.7036,,,,214.787078,224.4907
id4,0,9.7798,832.8589,823.07912,9.7798,,,,823.07912,832.8589
id5,0,13.855,104.8981,91.0431401,13.855,,,,91.0431401,104.8981
id6,0,15.1285,1403.6994,1388.57086,15.1285,,,,1388.57086,1403.6994
id7,0,21.8682,212.2427,190.374564,21.8682,,,,190.374564,212.2427
id8,0,23.3563,1959.1826,1935.82632,23.3563,,,,1935.82632,1959.1826
id9,0,26.684,11133.73,11107.046,26.684,,,,11107.046,11133.73
id10,0,27.4331,421.8765,394.443458,27.4331,,,,394.443458,421.8765
id11,0,471.5798,700.5699,228.990176,471.5798,,,,228.990176,700.5699
id12,0,751.5821,2325.0859,1573.50379,751.5821,,,,1573.50379,2325.0859
id13,0,758.5956,4923.6841,4165.08848,758.5956,,,,4165.08848,4923.6841
id14,0,761.3737,891.027,129.653343,761.3737,,,,129.653343,891.027
id15,0,769.6495,1060.9005,291.250979,769.6495,,,,291.250979,1060.9005
id16,0,821.7914,1616.9768,795.185417,821.7914,,,,795.185417,1616.9768
id17,0,1455.9036,1659.5275,203.623943,1455.9036,,,,203.623943,1659.5275
id18,0,1467.2958,8274.697,6807.4012,1467.2958,,,,6807.4012,8274.697
id19,0,1468.4504,2343.4272,874.976797,1468.4504,,,,874.976797,2343.4272
id20,0,1671.3502,1756.5811,85.2308645,1671.3502,,,,85.2308645,1756.5811
id21,0,1704.1259,2205.1961,501.070163,1704.1259,,,,501.070163,2205.1961
id22,0,1712.9352,2742.6852,1029.74996,1712.9352,,,,1029.74996,2742.6852
id23,0,2331.7886,4150.1391,1818.35052,2331.7886,,,,1818.35052,4150.1391
id24,0,2340.0163,2419.0679,79.0516675,2340.0163,,,,79.0516675,2419.0679
id25,0,2341.1632,13200.4904,10859.3272,2341.1632,,,,10859.3272,13200.4904
id26,0,2786.1324,3486.3973,700.264905,2786.1324,,,,700.264905,3486.3973
id27,0,3536.9374,4738.1067,1201.16934,3536.9374,,,,1201.16934,4738.1067
id28,0,3551.5879,3726.8085,175.220647,3551.5879,,,,175.220647,3726.8085
id29,0,3556.0338,3637.1152,81.0814353,3556.0338,,,,81.0814353,3637.1152
id30,0,3560.6656,4274.4028,713.737239,3560.6656,,,,713.737239,4274.4028
id31,0,3642.0836,4770.8357,1128.75208,3642.0836,,,,1128.75208,4770.8357
id32,0,4196.7774,4436.3745,239.597115,4196.7774,,,,239.597115,4436.3745
id33,0,4447.9461,4892.3578,444.411765,4447.9461,,,,444.411765,4892.3578
id34,0,4779.2274,4990.3983,211.170851,4779.2274,,,,211.170851,4990.3983
id35,0,4793.0132,5086.6296,293.61637,4793.0132,,,,293.61637,5086.6296
id36,0,4943.2843,9263.0814,4319.79706,4943.2843,,,,4319.79706,9263.0814
id37,0,4958.0089,5290.6776,332.668675,4958.0089,,,,332.668675,5290.6776
id38,0,5032.4336,5182.0273,149.593747,5032.4336,,,,149.593747,5182.0273
id39,0,5043.4989,5176.4953,132.996334,5043.4989,,,,132.996334,5176.4953
id40,0,5227.0554,5393.5064,166.450917,5227.0554,,,,166.450917,5393.5064
id41,0,5346.0194,5836.8109,490.7915,5346.0194,,,,490.7915,5836.8109
id42,0,5404.1773,5602.6472,198.46996,5404.1773,,,,198.46996,5602.6472
id43,0,5609.5697,8160.35,2550.78039,5609.5697,,,,2550.78039,8160.35
id44,0,5617.8478,5753.8908,136.043002,5617.8478,,,,136.043002,5753.8908
id45,0,8205.5697,14692.6483,6487.07855,8205.5697,,,,6487.07855,14692.6483
id46,0,8211.9455,9098.871,886.925477,8211.9455,,,,886.925477,9098.871
id47,0,8287.9536,8366.3328,78.3792125,8287.9536,,,,78.3792125,8366.3328
id48,0,8413.4524,8525.1422,111.689808,8413.4524,,,,111.689808,8525.1422
id49,0,9312.8351,16479.8248,7166.98961,9312.8351,,,,7166.98961,16479.8248
id50,0,11184.5914,11905.4854,720.893938,11184.5914,,,,720.893938,11905.4854
id51,0,11918.8365,12057.8221,138.985628,11918.8365,,,,138.985628,12057.8221
id52,0,12105.7889,12219.7407,113.95178,12105.7889,,,,113.95178,12219.7407
id53,0,12235.6486,13687.6669,1452.01829,12235.6486,,,,1452.01829,13687.6669
id54,0,13213.5828,13560.4212,346.838363,13213.5828,,,,346.838363,13560.4212
id55,0,13571.0235,13668.5491,97.525604,13571.0235,,,,97.525604,13668.5491
id56,0,13695.558,13819.8956,124.337545,13695.558,,,,124.337545,13819.8956
id57,0,13711.9443,14031.4845,319.540228,13711.9443,,,,319.540228,14031.4845
id58,0,13829.6016,13959.3301,129.728526,13829.6016,,,,129.728526,13959.3301
id59,0,13973.574,14168.3682,194.794187,13973.574,,,,194.794187,14168.3682
