job_id,arrival_times,start_time_seconds,end_time_seconds,training_time,wait_times,queueing_wait_times,capacity_wait_times,placement_wait_times,training_time,jcts
id0,0,0,608.1488,608.148808,0,,,,608.148808,608.1488
id1,0,6.7398,836.8719,830.132167,6.7398,,,,830.132167,836.8719
id2,0,6.0323,119.9933,113.960951,6.0323,,,,113.960951,119.9933
id3,0,11.2472,233.738,222.490837,11.2472,,,,222.490837,233.738
id4,0,9.7473,2076.1005,2066.35315,9.7473,,,,2066.35315,2076.1005
id5,0,15.1481,103.455,88.3068886,15.1481,,,,88.3068886,103.455
id6,0,15.9853,1520.1753,1504.18996,15.9853,,,,1504.18996,1520.1753
id7,0,24.097,222.1911,198.094082,24.097,,,,198.094082,222.1911
id8,0,24.5701,1997.8193,1973.24926,24.5701,,,,1973.24926,1997.8193
id9,0,26.6277,10986.0175,10959.3898,26.6277,,,,10959.3898,10986.0175
id10,0,28.0267,392.2415,364.214745,28.0267,,,,364.214745,392.2415
id11,0,237.2377,497.2482,260.010528,237.2377,,,,260.010528,497.2482
id12,0,536.2519,2923.4524,2387.20044,536.2519,,,,2387.20044,2923.4524
id13,0,543.0003,13132.1833,12589.183,543.0003,,,,12589.183,13132.1833
id14,0,550.0855,676.1233,126.037804,550.0855,,,,126.037804,676.1233
id15,0,653.7919,965.1936,311.401729,653.7919,,,,311.401729,965.1936
id16,0,656.7367,1420.0303,763.293594,656.7367,,,,763.293594,1420.0303
id17,0,1561.1021,1714.3331,153.230974,1561.1021,,,,153.230974,1714.3331
id18,0,1566.4333,8726.7565,7160.32324,1566.4333,,,,7160.32324,8726.7565
id19,0,1569.4679,4465.6163,2896.14839,1569.4679,,,,2896.14839,4465.6163
id20,0,1754.8551,1884.6904,129.835266,1754.8551,,,,129.835266,1884.6904
id21,0,1761.1925,4013.0002,2251.80776,1761.1925,,,,2251.80776,4013.0002
id22,0,1932.2275,4471.179,2538.95152,1932.2275,,,,2538.95152,4471.179
id23,0,2933.5237,7510.715,4577.19132,2933.5237,,,,4577.19132,7510.715
id24,0,2938.1904,3089.1048,150.914438,2938.1904,,,,150.914438,3089.1048
id25,0,2941.5817,14048.9614,11107.3797,2941.5817,,,,11107.3797,14048.9614
id26,0,4504.2779,6216.2066,1711.92866,4504.2779,,,,1711.92866,6216.2066
id27,0,6253.7804,7604.3728,1350.59241,6253.7804,,,,1350.59241,7604.3728
id28,0,6258.1407,6442.0217,183.88101,6258.1407,,,,183.88101,6442.0217
id29,0,6263.4319,6350.2236,86.7916917,6263.4319,,,,86.7916917,6350.2236
id30,0,6265.7637,6976.1058,710.342133,6265.7637,,,,710.342133,6976.1058
id31,0,6353.621,7442.7131,1089.09214,6353.621,,,,1089.09214,7442.7131
id32,0,7016.4003,7493.8467,477.446426,7016.4003,,,,477.446426,7493.8467
id33,0,7546.7849,8339.7354,792.950415,7546.7849,,,,792.950415,8339.7354
id34,0,7648.6822,7828.237,179.554749,7648.6822,,,,179.554749,7828.237
id35,0,7653.901,7972.4284,318.52743,7653.901,,,,318.52743,7972.4284
id36,0,7873.47,12996.2129,5122.74297,7873.47,,,,5122.74297,12996.2129
id37,0,7877.8111,8265.422,387.610938,7877.8111,,,,387.610938,8265.422
id38,0,8310.316,8581.0227,270.706648,8310.316,,,,270.706648,8581.0227
id39,0,8381.8509,8602.2378,220.386892,8381.8509,,,,220.386892,8602.2378
id40,0,8631.6736,8918.7927,287.119154,8631.6736,,,,287.119154,8918.7927
id41,0,8646.8555,10721.2297,2074.37417,8646.8555,,,,2074.37417,10721.2297
id42,0,8929.0963,9360.562,431.465708,8929.0963,,,,431.465708,9360.562
id43,0,8934.0831,20941.6787,12007.5956,8934.0831,,,,12007.5956,20941.6787
id44,0,9369.0946,9557.4991,188.404461,9369.0946,,,,188.404461,9557.4991
id45,0,9564.0793,29023.5352,19459.4559,9564.0793,,,,19459.4559,29023.5352
id46,0,10766.1552,14033.2215,3267.06622,10766.1552,,,,3267.06622,14033.2215
id47,0,13035.3249,13142.3876,107.062717,13035.3249,,,,107.062717,13142.3876
id48,0,13043.2135,13129.5401,86.3266065,13043.2135,,,,86.3266065,13129.5401
id49,0,13178.3479,34374.8437,21196.4958,13178.3479,,,,21196.4958,34374.8437
id50,0,14041.5101,16538.1435,2496.63339,14041.5101,,,,2496.63339,16538.1435
id51,0,16547.7917,16710.0058,162.214117,16547.7917,,,,162.214117,16710.0058
id52,0,16755.6387,16911.0776,155.438911,16755.6387,,,,155.438911,16911.0776
id53,0,16923.321,22134.6183,5211.29728,16923.321,,,,5211.29728,22134.6183
id54,0,20987.8189,21920.8381,933.01921,20987.8189,,,,933.01921,21920.8381
id55,0,21936.2503,22059.6704,123.420058,21936.2503,,,,123.420058,22059.6704
id56,0,22111.9007,22268.4872,156.586507,22111.9007,,,,156.586507,22268.4872
id57,0,22200.5458,22963.2698,762.723965,22200.5458,,,,762.723965,22963.2698
id58,0,22273.0634,22505.4075,232.344103,22273.0634,,,,232.344103,22505.4075
id59,0,22509.2309,22809.0784,299.847524,22509.2309,,,,299.847524,22809.0784
