job_id,arrival_times,start_time_seconds,end_time_seconds,training_time,wait_times,queueing_wait_times,capacity_wait_times,placement_wait_times,training_time,jcts
id0,0,0,3282.561713,3282.561713,0,,,,3282.561713,3282.561713
id1,0,2.481335235,834.676943,832.1956078,2.481335235,,,,832.1956078,834.676943
id2,0,3.493138764,108.9694115,105.4762727,3.493138764,,,,105.4762727,108.9694115
id3,0,4.533837186,222.5602721,218.0264349,4.533837186,,,,218.0264349,222.5602721
id4,0,4.983833367,3743.380038,3738.396204,4.983833367,,,,3738.396204,3743.380038
id5,0,7.375799656,105.1256342,97.74983456,7.375799656,,,,97.74983456,105.1256342
id6,0,8.927541572,1618.694567,1609.767025,8.927541572,,,,1609.767025,1618.694567
id7,0,12.12368353,206.8282414,194.7045579,12.12368353,,,,194.7045579,206.8282414
id8,0,13.48712653,1962.355616,1948.868489,13.48712653,,,,1948.868489,1962.355616
id9,0,15.58504279,12235.90513,12220.32009,15.58504279,,,,12220.32009,12235.90513
id10,0,16.80304731,2181.926308,2165.123261,16.80304731,,,,2165.123261,2181.926308
id11,0,231.0020007,549.2395057,318.237505,231.0020007,,,,318.237505,549.2395057
id12,0,599.9523821,7457.492455,6857.540073,599.9523821,,,,6857.540073,7457.492455
id13,0,1655.831169,18540.53105,16884.69988,1655.831169,,,,16884.69988,18540.53105
id14,0,1657.390975,1796.150853,138.7598782,1657.390975,,,,138.7598782,1796.150853
id15,0,1659.98084,2004.565199,344.584359,1659.98084,,,,344.584359,2004.565199
id16,0,1666.921262,6727.651217,5060.729955,1666.921262,,,,5060.729955,6727.651217
id17,0,2227.217943,2414.809899,187.5919565,2227.217943,,,,187.5919565,2414.809899
id18,0,2232.325683,4116.783005,1884.457323,2232.325683,,,,1884.457323,4116.783005
id19,0,2450.901287,6270.50003,3819.598743,2450.901287,,,,3819.598743,6270.50003
id20,0,2456.921485,2557.866356,100.9448711,2456.921485,,,,100.9448711,2557.866356
id21,0,2612.848592,4825.865891,2213.017299,2612.848592,,,,2213.017299,4825.865891
id22,0,3329.698616,8592.960786,5263.26217,3329.698616,,,,5263.26217,8592.960786
id23,0,4863.818023,11322.68321,6458.865187,4863.818023,,,,6458.865187,11322.68321
id24,0,4869.642691,4990.605202,120.9625109,4869.642691,,,,120.9625109,4990.605202
id25,0,6308.097304,46303.58253,39995.48523,6308.097304,,,,39995.48523,46303.58253
id26,0,7466.596365,9701.188293,2234.591928,7466.596365,,,,2234.591928,9701.188293
id27,0,8639.806002,9999.65426,1359.848257,8639.806002,,,,1359.848257,9999.65426
id28,0,9742.731195,9928.402478,185.6712827,9742.731195,,,,185.6712827,9928.402478
id29,0,9748.426359,9824.649785,76.22342599,9748.426359,,,,76.22342599,9824.649785
id30,0,9749.72373,10465.17385,715.4501205,9749.72373,,,,715.4501205,10465.17385
id31,0,9753.628254,10926.99131,1173.363052,9753.628254,,,,1173.363052,10926.99131
id32,0,9982.366675,10701.61781,719.2511335,9982.366675,,,,719.2511335,10701.61781
id33,0,10053.26614,11223.44086,1170.174723,10053.26614,,,,1170.174723,11223.44086
id34,0,10978.38749,11206.645,228.2575111,10978.38749,,,,228.2575111,11206.645
id35,0,11246.12148,11549.26989,303.1484119,11246.12148,,,,303.1484119,11549.26989
id36,0,11265.17273,16520.00288,5254.830147,11265.17273,,,,5254.830147,16520.00288
id37,0,11271.14505,11634.28083,363.1357792,11271.14505,,,,363.1357792,11634.28083
id38,0,11370.04144,11635.53714,265.4956953,11370.04144,,,,265.4956953,11635.53714
id39,0,11376.90768,11638.10338,261.195708,11376.90768,,,,261.195708,11638.10338
id40,0,11678.80932,11932.21065,253.40133,11678.80932,,,,253.40133,11932.21065
id41,0,11683.86218,13286.98794,1603.125764,11683.86218,,,,1603.125764,13286.98794
id42,0,11935.12948,12400.16831,465.0388245,11935.12948,,,,465.0388245,12400.16831
id43,0,11939.46508,28432.5671,16493.10202,11939.46508,,,,16493.10202,28432.5671
id44,0,12403.5302,12774.62452,371.0943189,12403.5302,,,,371.0943189,12774.62452
id45,0,12781.48323,34598.73329,21817.25006,12781.48323,,,,21817.25006,34598.73329
id46,0,13322.76928,15758.04313,2435.273852,13322.76928,,,,2435.273852,15758.04313
id47,0,15769.62251,15871.66777,102.0452624,15769.62251,,,,102.0452624,15871.66777
id48,0,15918.09051,16023.16641,105.075901,15918.09051,,,,105.075901,16023.16641
id49,0,16556.12847,43383.17883,26827.05036,16556.12847,,,,26827.05036,43383.17883
id50,0,18586.97481,21361.38787,2774.413061,18586.97481,,,,2774.413061,21361.38787
id51,0,21367.03246,21591.44449,224.412037,21367.03246,,,,224.412037,21591.44449
id52,0,21639.40442,21823.04432,183.6398997,21639.40442,,,,183.6398997,21823.04432
id53,0,21838.00046,27734.35903,5896.358568,21838.00046,,,,5896.358568,27734.35903
id54,0,27741.92558,28758.82412,1016.898537,27741.92558,,,,1016.898537,28758.82412
id55,0,28762.29356,28894.22945,131.9358878,28762.29356,,,,131.9358878,28894.22945
id56,0,28948.6127,29110.1393,161.5265907,28948.6127,,,,161.5265907,29110.1393
id57,0,29121.09058,30164.90097,1043.810391,29121.09058,,,,1043.810391,30164.90097
id58,0,30188.00646,30350.04623,162.0397722,30188.00646,,,,162.0397722,30350.04623
id59,0,30354.14595,30659.67875,305.5327986,30354.14595,,,,305.5327986,30659.67875
