job_id,model,arrival_time,duration,gpu_workers,ps,gpu_per_worker,cpu_per_gpu_worker,cpu_per_ps_worker,tensorsizes,skewness,profiled_network
0,bert,0,6521,2,0,1,5,5,1560,7.3,1300
1,bert,822.37,168,8,0,1,5,5,1560,7.3,4125
2,googlenet,1524.25,1097,4,0,1,5,5,26.7,4.2,633
3,vgg16,2163.19,2299,2,0,1,5,5,527.8,5.1,2087
4,bert,2265.38,913,4,0,1,5,5,1560,7.3,2218
5,resnet44,3291.24,906,2,0,1,5,5,2.5,2.4,32
6,inception3,3372.91,4574,4,0,1,5,5,90.9,4.2,1783
7,whisper,4831.36,1383,8,0,1,5,5,26.1,4.5,5344
8,densenet100_k12,5493.66,142,8,0,1,5,5,8.5,1.9,259
9,resnet44,7322.44,191,2,0,1,5,5,2.5,2.4,32
10,resnet110,7641.03,239,8,0,1,5,5,6.6,2.3,217
11,resnet44,7678.91,139,2,0,1,5,5,2.5,2.4,32
12,densenet100_k12,8875.31,132,4,0,1,5,5,8.5,1.9,119
13,densenet40_k12,9280.5,557,4,0,1,5,5,1.3,1.9,30
14,resnet44,9674.31,342,8,0,1,5,5,2.5,2.4,119
15,resnet44,10469.24,381,2,0,1,5,5,2.5,2.4,32
16,bert,10663.23,2858,4,0,1,5,5,1560,7.3,2218
17,densenet40_k12,11697.76,200,8,0,1,5,5,1.3,1.9,70
18,resnet50,11716.37,10857,4,0,1,5,5,97.5,3.8,1560
19,resnet50,11961.23,907,8,0,1,5,5,97.5,3.8,2943
20,inception3,12650.01,6122,4,0,1,5,5,90.9,4.2,1783
21,densenet100_k12,13006.54,572,8,0,1,5,5,8.5,1.9,259
22,densenet40_k12,13419.57,281,8,0,1,5,5,1.3,1.9,70
23,resnet110,14028.24,164,4,0,1,5,5,6.6,2.3,97
24,gpt2,14241.13,1076,8,0,1,5,5,4000,8,4634
25,densenet100_k12,14261.96,152,8,0,1,5,5,8.5,1.9,259
26,whisper,14491.86,466,8,0,1,5,5,26.1,4.5,5344
27,whisper,14760.44,2036,8,0,1,5,5,26.1,4.5,5344
28,densenet40_k12,14787.1,435,8,0,1,5,5,1.3,1.9,70
29,densenet100_k12,15343.23,3182,8,0,1,5,5,8.5,1.9,259
