job_id,model,arrival_time,duration,num_iteration,gpu_workers,gpu_per_worker,cpu_per_gpu_worker
0,workload_11,0,673,1004,4,1,5
1,workload_16,0,904,1629,1,1,5
2,workload_12,0,114,294,1,1,5
3,workload_12,0,234,658,1,1,5
4,workload_02,0,862,299,4,1,5
5,workload_02,0,110,412,1,1,5
6,workload_12,0,1518,979,8,1,5
7,workload_07,0,418,2397,1,1,5
8,workload_11,0,2190,7983,1,1,5
9,workload_12,0,11816,19602,2,1,5
10,workload_16,0,382,152,4,1,5
11,workload_12,0,218,10,8,1,5
12,workload_02,0,1640,446,8,1,5
13,workload_11,0,4417,9925,2,1,5
14,workload_07,0,72,1,2,1,5
15,workload_04,0,317,490,2,1,5
16,workload_11,0,830,1802,2,1,5
17,workload_11,0,131,1,8,1,5
18,workload_02,0,8027,4520,2,1,5
19,workload_11,0,1010,1564,4,1,5
20,workload_11,0,75,10,4,1,5
21,workload_11,0,543,788,4,1,5
22,workload_14,0,1091,1453,4,1,5
23,workload_11,0,2129,2009,8,1,5
24,workload_07,0,77,1,2,1,5
25,workload_02,0,12575,4720,4,1,5
26,workload_14,0,728,605,8,1,5
27,workload_05,0,1316,1195,8,1,5
28,workload_12,0,182,235,2,1,5
29,workload_02,0,77,13,2,1,5
30,workload_11,0,774,1675,2,1,5
31,workload_01,0,1229,9134,2,1,5
32,workload_02,0,207,52,4,1,5
33,workload_11,0,504,356,8,1,5
34,workload_11,0,112,1,8,1,5
35,workload_12,0,313,453,2,1,5
36,workload_12,0,4951,3538,8,1,5
37,workload_12,0,362,334,4,1,5
38,workload_11,0,129,100,4,1,5
39,workload_11,0,111,70,4,1,5
40,workload_02,0,139,14,8,1,5
41,workload_11,0,572,836,4,1,5
42,workload_02,0,171,24,8,1,5
43,workload_11,0,3048,4952,4,1,5
44,workload_02,0,134,24,4,1,5
45,workload_11,0,7820,7798,8,1,5
46,workload_18,0,920,275,4,1,5
47,workload_11,0,75,10,4,1,5
48,workload_02,0,66,1,4,1,5
49,workload_16,0,7181,2615,8,1,5
50,workload_02,0,776,198,8,1,5
51,workload_11,0,69,1,8,1,5
52,workload_18,0,62,1,8,1,5
53,workload_02,0,1568,426,8,1,5
54,workload_02,0,343,73,8,1,5
55,workload_14,0,96,1,8,1,5
56,workload_02,0,59,1,8,1,5
57,workload_18,0,351,60,8,1,5
58,workload_02,0,99,3,8,1,5
59,workload_12,0,96,1,8,1,5
